fips,county_name,state,population,land_area_sq_mi,population_density_per_sq_mi
47181,Wayne County,TN,16416,734.11,22.36
47183,Weakley County,TN,33261,580.35,57.31
47185,White County,TN,29612,376.68,78.61
47187,Williamson County,TN,272061,582.91,466.73
47189,Wilson County,TN,175033,571.09,306.49
48001,Anderson County,TX,59805,1062.62,56.28
48003,Andrews County,TX,18914,1500.69,12.6
48005,Angelina County,TX,88154,797.87,110.49
48007,Aransas County,TX,26146,252.27,103.64
48009,Archer County,TX,9129,903.29,10.11
48011,Armstrong County,TX,1843,909.12,2.03
48013,Atascosa County,TX,53590,1219.54,43.94
48015,Austin County,TX,33625,646.51,52.01
48017,Bailey County,TX,6963,826.97,8.42
48019,Bandera County,TX,22876,790.99,28.92
48021,Bastrop County,TX,118908,888.23,133.87
48023,Baylor County,TX,3472,867.48,4.0
48025,Bee County,TX,32515,880.24,36.94
48027,Bell County,TX,402248,1053.84,381.7
48029,Bexar County,TX,2160088,1240.42,1741.42
48031,Blanco County,TX,13581,709.25,19.15
48033,Borden County,TX,567,897.44,0.63
48035,Bosque County,TX,18918,982.98,19.25
48037,Bowie County,TX,92696,884.94,104.75
48039,Brazoria County,TX,419080,1363.32,307.4
48041,Brazos County,TX,249088,586.15,424.96
48043,Brewster County,TX,9458,6183.76,1.53
48045,Briscoe County,TX,1474,900.0,1.64
48047,Brooks County,TX,6579,943.36,6.97
48049,Brown County,TX,38711,944.45,40.99
48051,Burleson County,TX,20549,659.08,31.18
48053,Burnet County,TX,57015,994.85,57.31
48055,Caldwell County,TX,55150,544.54,101.28
48057,Calhoun County,TX,19599,506.94,38.66
48059,Callahan County,TX,14491,899.37,16.11
48061,Cameron County,TX,433946,891.72,486.64
48063,Camp County,TX,13380,195.85,68.32
48065,Carson County,TX,5805,920.24,6.31
48067,Cass County,TX,28651,936.95,30.58
48069,Castro County,TX,7295,894.44,8.16
48071,Chambers County,TX,57594,597.23,96.43
48073,Cherokee County,TX,53337,1052.95,50.65
48075,Childress County,TX,6643,696.51,9.54
48077,Clay County,TX,10764,1088.76,9.89
48079,Cochran County,TX,2546,775.08,3.28
48081,Coke County,TX,3412,911.65,3.74
48083,Coleman County,TX,7915,1262.97,6.27
48085,Collin County,TX,1297179,841.51,1541.48
48087,Collingsworth County,TX,2487,918.44,2.71
48089,Colorado County,TX,21439,960.29,22.33
48091,Comal County,TX,209166,559.54,373.82
48093,Comanche County,TX,14432,937.75,15.39
48095,Concho County,TX,3607,983.75,3.67
48097,Cooke County,TX,44461,874.83,50.82
48099,Coryell County,TX,85592,1052.25,81.34
48101,Cottle County,TX,1224,900.56,1.36
48103,Crane County,TX,4554,785.07,5.8
48105,Crockett County,TX,2769,2807.32,0.99
48107,Crosby County,TX,4852,900.2,5.39
48109,Culberson County,TX,2267,3812.16,0.59
48111,Dallam County,TX,7508,1503.35,4.99
48113,Dallas County,TX,2661397,873.19,3047.91
48115,Dawson County,TX,11776,900.31,13.08
48117,Deaf Smith County,TX,18626,1496.82,12.44
48119,Delta County,TX,5549,256.83,21.61
48121,Denton County,TX,1069346,878.76,1216.88
48123,DeWitt County,TX,20309,908.98,22.34
48125,Dickens County,TX,1692,901.72,1.88
48127,Dimmit County,TX,8024,1328.88,6.04
48129,Donley County,TX,3213,927.04,3.47
48131,Duval County,TX,9402,1793.48,5.24
48133,Eastland County,TX,18143,926.51,19.58
48135,Ector County,TX,173801,897.88,193.57
48137,Edwards County,TX,1370,2117.87,0.65
48139,Ellis County,TX,240867,935.8,257.39
48141,El Paso County,TX,877858,1013.52,866.14
48143,Erath County,TX,43911,1083.18,40.54
48145,Falls County,TX,17869,765.5,23.34
48147,Fannin County,TX,39265,877.94,44.72
48149,Fayette County,TX,25459,949.93,26.8
48151,Fisher County,TX,3692,898.95,4.11
48153,Floyd County,TX,4881,992.14,4.92
48155,Foard County,TX,1044,704.39,1.48
48157,Fort Bend County,TX,975191,862.09,1131.2
48159,Franklin County,TX,10994,284.4,38.66
48161,Freestone County,TX,20811,877.73,23.71
48163,Frio County,TX,18823,1133.5,16.61
48165,Gaines County,TX,23956,1502.36,15.95
48167,Galveston County,TX,372207,379.41,981.01
48169,Garza County,TX,4510,893.42,5.05
48171,Gillespie County,TX,28527,1058.2,26.96
48173,Glasscock County,TX,1128,900.22,1.25
48175,Goliad County,TX,7208,852.01,8.46
48177,Gonzales County,TX,20159,1066.69,18.9
48179,Gray County,TX,20919,925.97,22.59
48181,Grayson County,TX,153613,932.83,164.67
48183,Gregg County,TX,126095,273.38,461.24
48185,Grimes County,TX,34252,787.47,43.5
48187,Guadalupe County,TX,201111,711.25,282.76
48189,Hale County,TX,31819,1004.68,31.67
48191,Hall County,TX,2737,883.49,3.1
48193,Hamilton County,TX,8680,835.91,10.38
48195,Hansford County,TX,4944,919.81,5.38
48197,Hardeman County,TX,3292,695.11,4.74
48199,Hardin County,TX,58723,890.58,65.94
48201,Harris County,TX,5045026,1707.1,2955.31
48203,Harrison County,TX,71956,900.06,79.95
48205,Hartley County,TX,4904,1461.95,3.35
48207,Haskell County,TX,5499,903.13,6.09
48209,Hays County,TX,304390,676.86,449.71
48211,Hemphill County,TX,3083,906.29,3.4
48213,Henderson County,TX,88595,873.79,101.39
48215,Hidalgo County,TX,921549,1571.22,586.52
48217,Hill County,TX,39503,958.86,41.2
48219,Hockley County,TX,21600,908.39,23.78
48221,Hood County,TX,70501,420.74,167.56
48223,Hopkins County,TX,39063,767.43,50.9
48225,Houston County,TX,22316,1231.0,18.13
48227,Howard County,TX,30504,900.79,33.86
48229,Hudspeth County,TX,3433,4570.52,0.75
48231,Hunt County,TX,123336,840.42,146.75
48233,Hutchinson County,TX,19633,887.44,22.12
48235,Irion County,TX,1463,1051.54,1.39
48237,Jack County,TX,9563,910.97,10.5
48239,Jackson County,TX,15393,829.44,18.56
48241,Jasper County,TX,33075,938.65,35.24
48243,Jeff Davis County,TX,1711,2264.56,0.76
48245,Jefferson County,TX,254321,876.74,290.08
48247,Jim Hogg County,TX,4555,1136.17,4.01
48249,Jim Wells County,TX,38804,865.18,44.85
48251,Johnson County,TX,218048,725.06,300.73
48253,Jones County,TX,20861,928.61,22.46
48255,Karnes County,TX,15018,747.75,20.08
48257,Kaufman County,TX,209235,780.71,268.0
48259,Kendall County,TX,53289,662.45,80.44
48261,Kenedy County,TX,319,1458.56,0.22
48263,Kent County,TX,674,902.51,0.75
48265,Kerr County,TX,54037,1103.33,48.98
48267,Kimble County,TX,4438,1250.98,3.55
48269,King County,TX,192,910.87,0.21
48271,Kinney County,TX,3128,1360.53,2.3
48273,Kleberg County,TX,30315,881.31,34.4
48275,Knox County,TX,3192,850.62,3.75
48277,Lamar County,TX,51503,907.34,56.76
48279,Lamb County,TX,12579,1016.18,12.38
48281,Lampasas County,TX,23657,712.53,33.2
48283,La Salle County,TX,6517,1486.7,4.38
48285,Lavaca County,TX,20651,969.71,21.3
48287,Lee County,TX,18729,629.06,29.77
48289,Leon County,TX,16894,1073.16,15.74
48291,Liberty County,TX,121364,1158.48,104.76
48293,Limestone County,TX,22849,905.43,25.24
48295,Lipscomb County,TX,2955,932.21,3.17
48297,Live Oak County,TX,11929,1039.69,11.47
48299,Llano County,TX,23353,934.07,25.0
48301,Loving County,TX,52,668.82,0.08
48303,Lubbock County,TX,328906,895.64,367.23
48305,Lynn County,TX,6017,891.87,6.75
48307,McCulloch County,TX,7472,1065.6,7.01
48309,McLennan County,TX,272020,1036.71,262.39
48311,McMullen County,TX,544,1139.8,0.48
48313,Madison County,TX,14226,466.12,30.52
48315,Marion County,TX,9896,380.9,25.98
48317,Martin County,TX,5284,914.96,5.78
48319,Mason County,TX,3990,928.84,4.3
48321,Matagorda County,TX,36463,1093.13,33.36
48323,Maverick County,TX,58823,1279.48,45.97
48325,Medina County,TX,56881,1325.37,42.92
